seq_name,mcg,gvh,lip,chg,aac,alm1,alm2
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47
SYV_ECOLI,0.0,0.38,0.48,0.5,0.42,0.48,0.55
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83
MCP3_ECOLI,0.6,0.5,1.0,0.5,0.54,0.77,0.8
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17
FTSN_ECOLI,0.0,0.51,0.48,0.5,0.35,0.67,0.44
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34
TOLA_ECOLI,0.61,0.47,0.48,0.5,0.0,0.8,0.32
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1.0,0.99
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79
NLPA_ECOLI,0.75,0.55,1.0,1.0,0.4,0.47,0.3
CYOA_ECOLI,0.7,0.39,1.0,0.5,0.51,0.82,0.84
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78
RHAT_ECOLI,0.49,0.61,1.0,0.5,0.56,0.71,0.74
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26
FHUE_ECOLI,0.6,0.76,1.0,0.5,0.77,0.59,0.52
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3
MULI_ECOLI,0.77,0.57,1.0,0.5,0.37,0.54,0.01
NLPB_ECOLI,0.66,0.49,1.0,0.5,0.54,0.56,0.36
NLPE_ECOLI,0.71,0.46,1.0,0.5,0.52,0.59,0.3
PAL_ECOLI,0.67,0.55,1.0,0.5,0.66,0.58,0.16
SLP_ECOLI,0.68,0.49,1.0,0.5,0.62,0.55,0.28
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38
DGAL_ECOLI,0.63,1.0,0.48,0.5,0.35,0.51,0.49
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38
XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52
